,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28756,28756,1400,3,155,1,1,1,0,سعادت‌آباد,140000000.0,4.0
28757,28757,1393,2,93,1,1,1,0,کوی فردوس، خیابان گلستان شمالی (بلوار فردوس),64516000.0,4.0
28758,28758,1400,2,110,1,1,1,0,سهروردی,103636000.0,5.0
28759,28759,1385,2,68,0,1,1,0,جیحون,39705000.0,2.0
28760,28760,1394,3,151,1,1,1,0,پونک,60927000.0,1.0
28761,28761,1388,1,58,1,1,1,0,اباذر,72413000.0,5.0
28762,28762,1386,2,74,1,0,1,0,دکتر هوشیار,39189000.0,2.0
28763,28763,1396,2,114,1,1,1,0,چیتگر,57456000.0,1.0
28764,28764,1375,3,137,0,1,1,0,نیلوفر,58394000.0,3.0
28765,28765,1400,3,135,1,1,1,0,نیلوفر,51851000.0,
28766,28766,1399,2,84,1,1,1,0,شهران جنوبی,79047000.0,2.0
28767,28767,1384,3,180,1,1,1,0,پاسداران,65550000.0,1.0
28768,28768,1383,2,90,0,1,1,0,سازمان برنامه,42777000.0,3.0
28769,28769,1401,2,100,1,1,1,0,فرمانیه، کنارگذر لواسانی (خ. شهید لواسانی),197000000.0,1.0
28770,28770,1385,2,95,0,1,1,0,پونک,68421000.0,2.0
28771,28771,1382,1,56,0,0,1,0,مجیدیه، خیابان استاد حسن بنا جنوبی (بزرگراه سردار سلیمانی),38750000.0,3.0
28772,28772,1397,3,162,1,1,1,0,هروی,80246000.0,1.0
28773,28773,1395,3,230,1,1,1,0,زعفرانیه,260000000.0,7.0
28774,28774,1401,2,95,1,1,1,0,پونک,110526000.0,2.0
28775,28775,1384,2,77,0,1,1,0,تهران‌سر,44805000.0,1.0
28776,28776,1399,2,130,1,1,1,0,الهیه,184615000.0,2.0
28777,28777,1401,3,160,1,1,1,0,جردن,110625000.0,2.0
28778,28778,1395,3,175,1,1,1,0,شریف,47428000.0,8.0
28779,28779,1401,2,75,1,1,1,0,مجیدیه,65333000.0,4.0
28780,28780,1400,2,80,1,1,1,0,دکتر هوشیار,57500000.0,1.0
28781,28781,1391,3,100,1,1,1,0,گیشا (کوی نصر),88000000.0,4.0
28782,28782,1396,1,70,1,1,1,0,زرکش,45714000.0,3.0
28783,28783,1401,3,165,1,1,1,0,دهکده المپیک,32000000.0,13.0
28784,28784,1396,1,51,1,1,0,0,چهارصد دستگاه,39607000.0,3.0
28785,28785,1382,1,42,0,1,1,0,جیحون,44047000.0,1.0
28786,28786,1395,4,1500,0,1,1,1,میرداماد,160000000000.0,
28787,28787,1380,4,250,1,1,1,0,شهرک غرب,102000000.0,4.0
28788,28788,1401,2,103,1,1,1,0,تهران‌سر,56000000.0,2.0
28789,28789,1401,2,80,1,1,1,0,قبا,118750000.0,5.0
28790,28790,1396,3,145,1,1,1,0,ولنجک,135172000.0,4.0
28791,28791,1401,3,193,1,1,1,0,تهرانپارس غربی,79792000.0,3.0
28792,28792,1393,3,160,1,1,1,0,ولنجک,145000000.0,5.0
28793,28793,1388,2,83,0,0,1,0,جیحون,33132000.0,4.0
28794,28794,1386,2,70,1,1,1,0,کوی فردوس، بلوار شقایق جنوبی,61428000.0,4.0
28795,28795,1399,2,101,1,1,1,0,فاطمی,77227000.0,4.0
28796,28796,1385,2,118,1,1,1,0,تهرانپارس غربی,55932000.0,3.0
28797,28797,1401,2,130,1,1,1,0,چیتگر,10000000.0,23.0
28798,28798,1401,4,90,1,1,1,0,دریاچه شهدای خلیج فارس,22400000.0,12.0
