,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
12934,۱۳۸۲,۳,۱۹۰,1,1,1,0,یوسف‌آباد,۸۰٬۰۰۰٬۰۰۰ ,۴
12935,۱۳۸۲,۲,۷۹,0,1,1,0,ستارخان، خیابان شادمهر (خیابان ستارخان),۴۴٬۳۰۳٬۰۰۰ ,۴
12936,۱۳۹۰,۳,۱۶۵,1,1,1,0,ولنجک,۱۳۳٬۳۳۳٬۰۰۰ ,۴
12937,۱۳۹۶,۳,۱۳۲,1,1,1,0,پونک,۵۹٬۸۴۸٬۰۰۰ ,۲
12938,۱۳۹۵,۲,۱۱۵,1,1,1,0,جنت‌آباد مرکزی,۵۶٬۵۲۱٬۰۰۰ ,۳
12939,۱۳۹۴,۳,۱۴۱,1,1,1,0,شهران جنوبی,۶۴٬۵۳۹٬۰۰۰ ,۲
12940,۱۳۹۷,۳,۱۴۰,1,1,1,0,جنت‌آباد مرکزی,۵۷٬۱۴۲٬۰۰۰ ,۳
12941,۱۳۹۳,۲,۹۱,1,1,1,0,قیطریه,۱۰۴٬۳۹۵٬۰۰۰ ,۵
12942,۱۳۸۵,۳,۱۱۴,1,0,1,0,سازمان آب,۵۰٬۰۰۰٬۰۰۰ ,۱
12943,۱۳۸۰,۲,۱۱۵,1,0,1,0,شهر زیبا,۴۷٬۸۲۶٬۰۰۰ ,۱
12944,۱۳۸۸,۲,۱۰۰,1,1,1,0,زرگنده,۷۸٬۵۰۰٬۰۰۰ ,۳
12945,۱۴۰۱,۳,۲۷۵,1,1,1,0,میرداماد,۱۴۵٬۴۵۴٬۰۰۰ ,۲
12946,۱۴۰۱,۳,۱۱۸,1,1,1,0,جنت‌آباد جنوبی,۶۶٬۱۰۱٬۰۰۰ ,۴
12947,۱۳۸۳,۲,۶۵,0,0,1,0,منیریه,۳۴٬۴۶۱٬۰۰۰ ,۴
12948,۱۳۸۲,۱,۵۴,0,1,1,0,شمس‌آباد,۷۰٬۱۸۵٬۰۰۰ ,۱
12949,۱۳۸۹,۲,۱۰۶,1,1,1,0,جنت‌آباد جنوبی,۶۶٬۹۸۱٬۰۰۰ ,۵
12950,۱۳۸۵,۲,۱۰۰,0,1,1,0,حشمتیه,۵۰٬۰۰۰٬۰۰۰ ,۳
12951,۱۴۰۱,۲,۹۸,1,1,1,0,دریاچه شهدای خلیج فارس,۱۷٬۷۲۴٬۰۰۰ ,۹
12952,۱۴۰۱,۳,۱۶۰,1,1,1,0,ستارخان,۸۱٬۲۵۰٬۰۰۰ ,۴
12953,۱۳۸۰,۲,۷۰,0,1,0,0,جنت‌آباد جنوبی,۶۴٬۲۸۵٬۰۰۰ ,۳
12954,۱۴۰۱,۲,۷۷,1,1,1,0,بهار، خیابان بهار شمالی (خ. طالقانی),۷۵٬۰۰۰٬۰۰۰ ,۵
12955,۱۳۹۳,۲,۶۷,1,1,1,0,مرزداران,۷۷٬۶۱۱٬۰۰۰ ,۴
12956,۱۴۰۱,۲,۱۰۵,1,1,1,0,وردآورد,۱۸٬۱۲۳٬۰۰۰ ,۹
12957,۱۳۹۳,۲,۱۰۲,1,1,1,0,پونک,۸۳٬۳۳۳٬۰۰۰ ,۴
12958,۱۴۰۱,۲,۹۸,1,1,1,0,آرارات,۱۰۸٬۰۰۰٬۰۰۰ ,۱
12959,۱۳۸۵,۲,۵۸,0,0,1,0,صد دستگاه,۳۴٬۴۸۲٬۰۰۰ ,۲
12960,۱۳۷۷,۱,۵۳,0,0,1,0,علی‌آباد، خیابان باستانی پور (بلوار دستواره),۲۱٬۳۲۰٬۰۰۰ ,۳
12961,۱۳۸۰,۳,۱۵۰,1,1,1,0,الهیه,۱۰۰٬۰۰۰٬۰۰۰ ,۱
12962,۱۳۹۴,۳,۱۲۰,1,1,1,0,نارمک,۷۵٬۰۰۰٬۰۰۰ ,۴
12963,۱۳۷۸,۳,۹۵,0,1,1,0,ونک,۶۲٬۱۰۵٬۰۰۰ ,۳
12964,۱۴۰۰,۲,۸۷,1,1,1,0,گیشا (کوی نصر),۱۲۲٬۹۸۸٬۰۰۰ ,۵
12965,۱۳۹۶,۴,۲۰۸,1,1,1,0,گیشا (کوی نصر),۱۰۹٬۶۱۵٬۰۰۰ ,۱
12966,۱۳۹۸,۱,۶۲,1,0,1,0,جیحون,۴۴٬۳۵۴٬۰۰۰ ,۲
12967,۱۳۸۹,۲,۵۸,0,1,1,0,جیحون,۴۹٬۱۳۷٬۰۰۰ ,۱
12968,۱۴۰۱,۳,۱۵۰,1,1,1,0,سهروردی، کوچه لواسانی (خ. بهار شیراز),۷۵٬۰۰۰٬۰۰۰ ,۴
12969,۱۴۰۱,۲,۸۳,1,1,0,0,جی,۲۶٬۵۰۶٬۰۰۰ ,۲
12970,۱۳۹۵,۲,۸۳,1,1,1,0,گیشا (کوی نصر),۱۰۶٬۰۲۴٬۰۰۰ ,۱
12971,۱۴۰۱,۲,۵۰,1,1,1,0,دریاچه شهدای خلیج فارس، بلوار پژوهش (بلوار پژوهش),۱۵٬۴۰۰٬۰۰۰ ,۱۵
12972,۱۴۰۱,۲,۱۰۲,1,1,1,0,آبشار تهران,۱۳٬۶۰۷٬۰۰۰ ,۹
12973,۱۴۰۱,۲,۱۱۱,1,1,1,0,کوهک,۱۳٬۵۱۳٬۰۰۰ ,۱۱
12974,۱۴۰۱,۲,۸۳,1,1,1,0,دریاچه شهدای خلیج فارس,۱۸٬۹۲۷٬۰۰۰ ,۹
12975,۱۳۹۶,۳,۱۳۰,1,1,1,0,کوی فردوس,۷۴٬۶۱۵٬۰۰۰ ,۲
12976,۱۴۰۱,۲,۸۵,1,1,1,0,پونک، بلوار کمالی (بلوار عدل شمالی),۱۲۰٬۰۰۰٬۰۰۰ ,۵
12977,۱۳۹۸,۳,۱۲۰,1,1,1,0,پونک,۷۷٬۵۰۰٬۰۰۰ ,۱
12978,۱۳۹۳,۲,۸۲,1,1,0,0,آذری,۳۲٬۹۲۶٬۰۰۰ ,۴
12979,۱۳۸۲,۲,۶۴,1,1,1,0,باغ فیض,۵۴٬۶۸۷٬۰۰۰ ,۴
12980,۱۴۰۱,۳,۱۹۰,1,1,1,0,یوسف‌آباد,۱۱۰٬۰۰۰٬۰۰۰ ,۴
12981,۱۳۸۵,۳,۱۷۰,1,1,1,0,اقدسیه,۱۴۱٬۱۷۶٬۰۰۰ ,۵
12982,۱۳۹۴,۱,۵۰,0,0,0,0,جیحون، کوچه صادق پور (خ. جیحون),۴۱٬۴۰۰٬۰۰۰ ,0
12983,۱۳۸۰,۱,۶۳,0,0,0,0,میدان حر,۳۰٬۰۰۰٬۰۰۰ ,0
12984,۱۳۸۷,۲,۸۷,1,1,1,0,پونک، بلوار فلاح زاده (همیلا) (بلوار میرزابابایی),۷۱٬۲۶۴٬۰۰۰ ,۴
12985,۱۳۸۷,۳,۱۳۸,1,1,1,0,ولنجک,۱۱۹٬۵۶۵٬۰۰۰ ,۲
12986,۱۳۹۷,۲,۹۱,1,1,1,0,شادمهر,۷۱٬۴۲۸٬۰۰۰ ,۴
12987,۱۳۷۵,۳,۱۷۰,1,1,1,0,جردن,۹۳٬۵۲۹٬۰۰۰ ,۳
12988,۱۴۰۱,۲,۱۱۷,1,1,1,0,سیدخندان,۸۰٬۰۰۰٬۰۰۰ ,۵
12989,۱۳۸۰,۱,۶۰,0,0,1,0,جمال‌زاده، خیابان جمالزاده جنوبی (خ. آزادی),۳۵٬۸۳۳٬۰۰۰ ,۴
12990,۱۳۹۸,۲,۱۰۴,1,1,1,0,سهروردی، خیابان ترکمنستان (خ. مطهری),۷۶٬۹۲۳٬۰۰۰ ,۳
12991,۱۳۹۷,۱,۶۵,1,1,1,0,گمرک,۳۲٬۴۶۱٬۰۰۰ ,۲
12992,۱۳۷۱,۴,۲۳۰,1,1,1,0,ونک,۶۵٬۰۰۰٬۰۰۰ ,۵
12993,۱۳۸۲,۲,۸۱,0,1,1,0,کوی فردوس,۶۰٬۴۹۳٬۰۰۰ ,۱
12994,۱۳۸۲,۳,۱۳۰,1,1,1,0,امیرآباد,۷۶٬۹۲۳٬۰۰۰ ,۴
12995,۱۳۹۳,۲,۷۷,1,1,1,0,ابوذر (منطقه ۱۵),۴۳٬۵۰۶٬۰۰۰ ,۲
12996,۱۳۹۳,۲,۸۰,1,1,1,0,جردن,۱۲۰٬۰۰۰٬۰۰۰ ,۲
12997,۱۳۹۴,۲,۵۵,0,1,1,0,اندیشه (شهر زیبا),۲۲٬۹۰۹٬۰۰۰ ,۱
12998,۱۳۸۵,۲,۷۵,0,0,1,0,پیروزی,۴۱٬۳۳۳٬۰۰۰ ,۱
12999,۱۴۰۱,۲,۷۵,1,1,1,0,دریاچه شهدای خلیج فارس,۲۴٬۶۲۶٬۰۰۰ ,۲۰
13000,۱۴۰۰,۲,۷۵,1,1,1,0,نارمک,۵۵٬۰۰۰٬۰۰۰ ,۱
13001,۱۴۰۱,۲,۶۴,1,1,1,0,کوی فردوس,۸۱٬۲۵۰٬۰۰۰ ,۱
13002,۱۳۸۰,۳,۱۶۰,1,1,1,0,ونک,۹۰٬۰۰۰٬۰۰۰ ,۴
13003,۱۳۸۰,۱,۶۲,0,0,1,0,شادمهر,۴۳٬۲۲۵٬۰۰۰ ,۳
